Antibody Name,Target Protein,Performance  ,Vendor,Catalog no. ,Clone,Fluorophore,Research Resource Identifier,FILTER SET,Note,Link
LaminA/C-488,Lamin A/C,***,CST,8617,4C11,Alexa Fluor 488,AB_10997529,488/FITC,,https://www.cellsignal.com/products/antibody-conjugates/lamin-a-c-4c11-mouse-mab-alexa-fluor-488-conjugate/8617?_=1521135220314&Ntt=8617&tahead=true
LaminB1-488,Lamin B1,***,Abcam,AB194106,EPR8985(B),Alexa Fluor 488,,488/FITC,,http://www.abcam.com/lamin-b1-antibody-epr8985b-nuclear-envelope-marker-alexa-fluor-488-ab194106.html
mCD3E-FITC,ms_CD3E,***,BioLegend,100306,145-2C11,FITC,AB_312671,488/FITC,,https://www.biolegend.com/en-us/products/fitc-anti-mouse-cd3epsilon-antibody-23
mCD4-488,ms_CD4,***,BioLegend,100532,RM4-5,Alexa Fluor 488,AB_493373,488/FITC,,https://www.biolegend.com/en-us/products/alexa-fluor-488-anti-mouse-cd4-antibody-2697
MET-488,c-MET,***,CST,8494,D1C2,Alexa Fluor 488,AB_10999405,488/FITC,,https://www.cellsignal.com/products/antibody-conjugates/met-d1c2-xp-rabbit-mab-alexa-fluor-488-conjugate/8494
mF4/80-488,ms_F4/80,***,BioLegend,123120,BM8,Alexa Fluor 488,AB_893479,488/FITC,,https://www.biolegend.com/en-us/products/alexa-fluor-488-anti-mouse-f4-80-antibody-4073
MITF-488,MITF,***,Abcam,AB201675,D5,Alexa Fluor 488,,488/FITC,,http://www.abcam.com/mitf-antibody-d5-alexa-fluor-488-ab201675.html
Ncad-488,N-Cadherin,***,BioLegend,350809,8C11,Alexa Fluor 488,AB_11218797,488/FITC,,https://www.biolegend.com/en-us/products/alexa-fluor-488-anti-human-cd325-n-cadherin-antibody-7911
p53-488,p53,***,CST,5429,7F5,Alexa Fluor 488,AB_10695458,488/FITC,,https://www.cellsignal.com/products/antibody-conjugates/p53-7f5-rabbit-mab-alexa-fluor-488-conjugate/5429
PCNA-488,PCNA,***,CST,8580,PC10,Alexa Fluor 488,AB_11178664,488/FITC,,https://www.cellsignal.com/products/antibody-conjugates/pcna-pc10-mouse-mab-alexa-fluor-488-conjugate/8580
PD1-488,PD1,***,CST,15131,D3W4U,Alexa Fluor 488,,488/FITC,Discontinued,https://www.cellsignal.com/product/productDetail.jsp?productId=15131
PDI-488,PDI,***,CST,5051,C81H6,Alexa Fluor 488,AB_10950503,488/FITC,,https://www.cellsignal.com/product/productDetail.jsp?productId=5051
pERK-488,pERK(T202/Y204),***,CST,4344,D13.14.4E,Alexa Fluor 488,AB_10695876,488/FITC,Discontinued,https://www.cellsignal.com/product/productDetail.jsp?productId=4344
pNDG1-488,pNDG1(T346),***,CST,6992,D98G11,Alexa Fluor 488,AB_10827648,488/FITC,,https://www.cellsignal.com/products/antibody-conjugates/phospho-ndrg1-thr346-d98g11-xp-rabbit-mab-alexa-fluor-488-conjugate/6992
POL2A-488,POL2A,***,Novus Biologicals,NB200-598AF488,4H8,Alexa Fluor 488,AB_2167465,488/FITC,,https://www.novusbio.com/products/rna-polymerase-ii-polr2a-antibody-4h8_nb200-598af488
pS6(S240/244)-488,pS6(240/244),***,CST,5018,D68F8,Alexa Fluor 488,AB_10695861,488/FITC,,https://www.cellsignal.com/products/antibody-conjugates/phospho-s6-ribosomal-protein-ser240-244-d68f8-xp-rabbit-mab-alexa-fluor-488-conjugate/5018
S100a-488,S100alpha,***,Abcam,AB207367,EPR5251,Alexa Fluor 488,,488/FITC,,http://www.abcam.com/s100-alpha-antibody-epr5251-alexa-fluor-488-ab207367.html
SQSTM1-488,SQSTM1/p62,***,CST,8833,D1D9E3,Alexa Fluor 488,,488/FITC,Discontinued,https://www.cellsignal.com/product/productDetail.jsp?productId=8833
STAT3-488,STAT3,***,CST,14047,B3Z2G,Alexa Fluor 488,,488/FITC,,https://www.cellsignal.com/products/antibody-conjugates/stat3-d3z2g-rabbit-mab-alexa-fluor-488-conjugate/14047
Survivin-488,Survivin,***,CST,2810,71G4B7,Alexa Fluor 488,AB_10691462,488/FITC,,https://www.cellsignal.com/products/antibody-conjugates/survivin-71g4b7-rabbit-mab-alexa-fluor-488-conjugate/2810?_=1521136750066&Ntt=2810&tahead=true
Catenin-488,β-Catenin,***,CST,2849,L54E2,Alexa Fluor 488,AB_10693296,488/FITC,,https://www.cellsignal.com/products/antibody-conjugates/b-catenin-l54e2-mouse-mab-alexa-fluor-488-conjugate/2849
Actin-555,Actin,***,CST,8046,13E5,Alexa Fluor 555,AB_11179208,555/Cy3,,https://www.cellsignal.com/products/antibody-conjugates/b-actin-13e5-rabbit-mab-alexa-fluor-555-conjugate/8046
CD11c-570,CD11c,***,eBioscience,41-9761-80,118/A5,eFluor 570,AB_2573632,555/Cy3,,https://www.thermofisher.com/antibody/product/CD11c-Antibody-clone-118-A5-Monoclonal/41-9761-80
CD3D-555,CD3D,***,Abcam,AB208514,EP4426,Alexa Fluor 555,,555/Cy3,,http://www.abcam.com/cd3d-antibody-ep4426-alexa-fluor-555-ab208514.html
CD4-570,CD4,***,eBioscience,41-2444-80,N1UG0,eFluor 570,AB_2573601,555/Cy3,,https://www.thermofisher.com/antibody/product/CD4-Antibody-clone-N1UG0-Monoclonal/41-2444-80
CD45-PE,CD45,***,R&D Systems,FAB1430P-100,2D1,PE,AB_2237898,555/Cy3,,https://www.rndsystems.com/products/human-cd45-pe-conjugated-antibody-2d1_fab1430p
CK7-555,Cytokeratin 7,***,Abcam,AB209601,EPR17078,Alexa Fluor 555,,555/Cy3,,http://www.abcam.com/cytokeratin-7-antibody-epr17078-alexa-fluor-555-ab209601.html
cMYC-555,cMYC,***,Abcam,AB201780,Y69,Alexa Fluor 555,,555/Cy3,,http://www.abcam.com/c-myc-antibody-y69-alexa-fluor-555-ab201780.html
E2F1-555,E2F1,***,Abcam,AB208078,EPR3818(3),Alexa Fluor 555,,555/Cy3,,http://www.abcam.com/e2f1-antibody-epr38183-alexa-fluor-555-ab208078.html
Ecad-555,E-Cadherin,***,CST,4295,24E10,Alexa Fluor 555,,555/Cy3,Discontinued,https://www.cellsignal.com/product/productDetail.jsp?productId=4295
EpCAM-PE,EpCAM,***,BioLegend,324205,9C4,PE,AB_756079,555/Cy3,,https://www.biolegend.com/en-us/products/pe-anti-human-cd326-epcam-antibody-3757
FOXO1a-555,FOXO1a,***,Abcam,AB207244,EP927Y,Alexa Fluor 555,,555/Cy3,,http://www.abcam.com/foxo1a-antibody-ep927y-alexa-fluor-555-ab207244.html
FOXP3-570,FOXP3,***,eBioscience,41-4777-80,236A/E7,eFluor 570,AB_2573608,555/Cy3,,https://www.thermofisher.com/antibody/product/FOXP3-Antibody-clone-236A-E7-Monoclonal/41-4777-80
GFAP-570,GFAP,***,eBioscience,41-9892-80,GA5,eFluor 570,AB_2573655 ,555/Cy3,,https://www.thermofisher.com/antibody/product/GFAP-Antibody-clone-GA5-Monoclonal/41-9892-80
HSP90-PE,HSP90b,***,Abcam,AB115641,Polyclonal,PE,AB_10936222,555/Cy3,,http://www.abcam.com/hsp90-beta-antibody-phycoerythrin-ab115641.html
KAP1-594,KAP1,***,BioLegend,619304,20A1,Alexa Fluor 594,AB_2563298,555/Cy3,Hard to inactivate,https://www.biolegend.com/en-us/products/alexa-fluor-594-anti-tif1beta-kap-1--trim28-antibody-9637
Keratin-555,pan-Keratin,***,CST,3478,C11,Alexa Fluor 555,AB_10829040,555/Cy3,,https://www.cellsignal.com/products/antibody-conjugates/pan-keratin-c11-mouse-mab-alexa-fluor-555-conjugate/3478
Keratin-570,pan-Keratin,***,eBioscience,41-9003-80,AE1/AE3,eFluor 570,AB_11217482,555/Cy3,,https://www.thermofisher.com/antibody/product/Pan-Cytokeratin-Antibody-clone-AE1-AE3-Monoclonal/41-9003-80
Ki67-570,Ki67,***,eBioscience,41-5699-80,20Raj1,eFluor 570,AB_11220088,555/Cy3,,https://www.thermofisher.com/antibody/product/Ki-67-Antibody-clone-20Raj1-Monoclonal/41-5699-80
LC3-555,LC3,***,CST,13173,D3U4C,Alexa Fluor 555,,555/Cy3,,https://www.cellsignal.com/products/antibody-conjugates/lc3a-b-d3u4c-xp-rabbit-mab-alexa-fluor-555-conjugate/13173
MAP2-570,MAP2,***,eBioscience,41-9763-80,AP20,eFluor 570,AB_2573634,555/Cy3,,https://www.thermofisher.com/antibody/product/MAP2-Antibody-clone-AP20-Monoclonal/41-9763-80
pAUR-555,pAUR1/2/3(T288/T232/T198),***,CST,13464,D13A11,Alexa Fluor 555,,555/Cy3,,https://www.cellsignal.com/products/antibody-conjugates/phospho-aurora-a-thr288-aurora-b-thr232-aurora-c-thr198-d13a11-xp-rabbit-mab-alexa-fluor-555-conjugate/13464
pCHK2-PE,pChk2(T68),***,CST,12812,C13C1,PE,,555/Cy3,,https://www.cellsignal.com/products/antibody-conjugates/phospho-chk2-thr68-c13c1-rabbit-mab-pe-conjugate/12812?_=1521138542994&Ntt=12812&tahead=true
PDL1-555,PD-L1/CD274,***,Abcam,AB213358,28-8,Alexa Fluor 555,,555/Cy3,,http://www.abcam.com/pd-l1-antibody-28-8-alexa-fluor-555-ab213358.html
pH3-555,pH3(S10),***,CST,3475,D2C8,Alexa Fluor 555,AB_10694639,555/Cy3,,https://www.cellsignal.com/products/antibody-conjugates/phospho-histone-h3-ser10-d2c8-xp-rabbit-mab-alexa-fluor-555-conjugate/3475
pRB-555,pRB(S807/811),***,CST,8957,D20B12,Alexa Fluor 555,,555/Cy3,,https://www.cellsignal.com/products/antibody-conjugates/phospho-rb-ser807-811-d20b12-xp-rabbit-mab-alexa-fluor-555-conjugate/8957
pS6(235/236)-555,pS6(235/236),***,CST,3985,D57.2.2E,Alexa Fluor 555,AB_10693792,555/Cy3,Discontinued,https://www.cellsignal.com/products/antibody-conjugates/phospho-s6-ribosomal-protein-ser235-236-d57-2-2e-xp-rabbit-mab-alexa-fluor-555-conjugate/3985
pSRC-PE,pSRC(Y418),***,eBioscience,12-9034-41,SC1T2M3,PE,AB_2572680 ,555/Cy3,,https://www.thermofisher.com/antibody/product/Phospho-SRC-Tyr418-Antibody-clone-SC1T2M3-Monoclonal/12-9034-41
S6-555,S6,***,CST,6989,54D2,Alexa Fluor 555,AB_10828226,555/Cy3,,https://www.cellsignal.com/product/productDetail.jsp?productId=6989
SQSTM1-555,SQSTM1/p62,***,Abcam,AB203430,EPR4844,Alexa Fluor 555,,555/Cy3,,http://www.abcam.com/sqstm1-p62-antibody-epr4844-autophagosome-marker-alexa-fluor-555-ab203430.html
VEGFR2-555,VEGFR2,***,CST,12872,D5B1,Alexa Fluor 555,,555/Cy3,Discontinued,https://www.cellsignal.com/product/productDetail.jsp?productId=12872
VEGFR2-PE,VEGFR2,***,CST,12634,D5B1,PE,,555/Cy3,,https://www.cellsignal.com/products/antibody-conjugates/vegf-receptor-2-d5b1-rabbit-mab-pe-conjugate/12634
Vimentin-555,Vimentin,***,CST,9855,D21H3,Alexa Fluor 555,AB_10859896,555/Cy3,,https://www.cellsignal.com/products/antibody-conjugates/vimentin-d21h3-xp-rabbit-mab-alexa-fluor-555-conjugate/9855
Vinculin-570,Vinculin,***,eBioscience,41-9777-80,7F9,eFluor 570,AB_2573646 ,555/Cy3,,https://www.thermofisher.com/antibody/product/Vinculin-Antibody-clone-7F9-Monoclonal/41-9777-80
gH2ax-PE,gH2ax,***,BioLegend,613412,2F3,PE,AB_2616871,555/Cy5,,https://www.biolegend.com/en-us/products/pe-anti-h2a-x-phospho-ser139-antibody-13292
AKT-647,AKT,***,CST,5186,C67E7,Alexa Fluor 647,AB_10695877,647/Cy5,,https://www.cellsignal.com/products/antibody-conjugates/akt-pan-c67e7-rabbit-mab-alexa-fluor-647-conjugate/5186
aSMA-660,aSMA,***,eBioscience,50-9760-80,1A4,eFluor 660,AB_2574361,647/Cy5,,https://www.thermofisher.com/antibody/product/Alpha-Smooth-Muscle-Actin-Antibody-clone-1A4-Monoclonal/50-9760-80
B220-647,CD45R/B220,***,BioLegend,103226,RA3-6B2,Alexa Fluor 647,AB_389330,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-mouse-human-cd45r-b220-antibody-2708
Bcl2-647,Bcl2,***,BioLegend,658705,100,Alexa Fluor 647,AB_2563279 ,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-bcl-2-antibody-9358
Catenin-647,Beta-Catenin,***,CST,4627,L54E2,Alexa Fluor 647,AB_10691326,647/Cy5,,https://www.cellsignal.com/products/antibody-conjugates/b-catenin-l54e2-mouse-mab-alexa-fluor-647-conjugate/4627
CD20-660,CD20,***,eBioscience,50-0202-80,L26,eFluor 660,AB_11151691 ,647/Cy5,,https://www.thermofisher.com/antibody/product/CD20-Antibody-clone-L26-Monoclonal/50-0202-80
CD45-647,CD45,***,BioLegend,304020,HI30,Alexa Fluor 647,AB_493034,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-human-cd45-antibody-2739
CD8a-660,CD8,***,eBioscience,50-0008-80,AMC908,eFluor 660,AB_2574148,647/Cy5,,https://www.thermofisher.com/antibody/product/CD8a-Antibody-clone-AMC908-Monoclonal/50-0008-80
CK5-647,Cytokeratin 5,***,Abcam,AB193895,EP1601Y,Alexa Fluor 647,,647/Cy5,,http://www.abcam.com/cytokeratin-5-antibody-ep1601y-alexa-fluor-647-ab193895.html
CoIIV-647,Collagen IV,***,eBioscience,51-9871-80,1042,Alexa Fluor 647,AB_10854267,647/Cy5,,https://www.thermofisher.com/antibody/product/Collagen-IV-Antibody-clone-1042-Monoclonal/51-9871-80
COXIV-647,COXIV,***,CST,7561,3E11,Alexa Fluor 647,AB_10994876,647/Cy5,,https://www.cellsignal.com/products/antibody-conjugates/cox-iv-3e11-rabbit-mab-alexa-fluor-647-conjugate/7561
cPARP-647,cPARP,***,CST,6987,D64E10,Alexa Fluor 647,AB_10858215,647/Cy5,,https://www.cellsignal.com/products/antibody-conjugates/cleaved-parp-asp214-d64e10-xp-rabbit-mab-alexa-fluor-647-conjugate/6987
FOXA2-660,FOXA2,***,eBioscience,50-4778-82,3C10,eFluor 660,AB_2574221,647/Cy5,,https://www.thermofisher.com/antibody/product/FOXA2-Antibody-clone-3C10-Monoclonal/50-4778-82
FOXP3-647,FOXP3,***,BioLegend,320113,206D,Alexa Fluor 647,AB_439753,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-human-foxp3-antibody-2945
gH2ax-647,H2ax(S139),***,CST,9720,20E3,Alexa Fluor 647,AB_10692910,647/Cy5,,https://www.cellsignal.com/products/antibody-conjugates/phospho-histone-h2a-x-ser139-20e3-rabbit-mab-alexa-fluor-647-conjugate/9720
gH2ax-647,H2ax(S139),***,BioLegend,613407,2F3,Alexa Fluor 647,AB_2114994,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-h2a-x-phospho-ser139-antibody-3503
HES1-647,HES1,***,Abcam,AB196577,EPR4226,Alexa Fluor 647,,647/Cy5,,http://www.abcam.com/hes1-antibody-epr4226-alexa-fluor-647-ab196577.html
Ki67-647,Ki67,***,CST,12075,D3B5,Alexa Fluor 647,,647/Cy5,,https://www.cellsignal.com/products/antibody-conjugates/ki-67-d3b5-rabbit-mab-alexa-fluor-647-conjugate/12075
Ki67-647,Ki67,***,BioLegend,350509,Ki-67,Alexa Fluor 647,AB_10900810,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-human-ki-67-antibody-7346
mCD45-647,ms_CD45,***,BioLegend,103124,30-F11,Alexa Fluor 647,AB_493533,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-mouse-cd45-antibody-3101
mCD4-647,ms_CD4,***,BioLegend,100426,GK1.5,Alexa Fluor 647,AB_493519 ,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-mouse-cd4-antibody-2694
mEPCAM-647,ms_EPCAM,***,BioLegend,118211,G8.8,Alexa Fluor 647,AB_1134104,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-mouse-cd326-ep-cam-antibody-4973
MHCI-647,MHCI/HLAA,***,Abcam,AB199837,EP1395Y,Alexa Fluor 647,,647/Cy5,,http://www.abcam.com/hla-a-antibody-ep1395y-alexa-fluor-647-ab199837.html
MHCII-647,MHCII,***,Abcam,AB201347,EPR11226,Alexa Fluor 647,,647/Cy5,,http://www.abcam.com/mhc-class-ii-antibody-epr11226-alexa-fluor-647-ab201347.html
mLy6C-647,ms_Ly6C,***,BioLegend,128009,HK1.4,Alexa Fluor 647,AB_1236551,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-mouse-ly-6c-antibody-4897
mTOR-647,mTOR,***,CST,5048,7C10,Alexa Fluor 647,AB_10828101,647/Cy5,,https://www.cellsignal.com/products/antibody-conjugates/mtor-7c10-rabbit-mab-alexa-fluor-647-conjugate/5048
NFkB-647,NFkB (p65),***,Abcam,AB190589,E379,Alexa Fluor 647,,647/Cy5,,http://www.abcam.com/nf-kb-p65-antibody-e379-alexa-fluor-647-ab190589.html
NGFR-647,NGFR/CD271,***,Abcam,AB195180,EP1039Y,Alexa Fluor 647,,647/Cy5,,http://www.abcam.com/p75-ngf-receptor-antibody-ep1039y-alexa-fluor-647-ab195180.html
NUP98-647,NUP98,***,CST,13393,C39A3,Alexa Fluor 647,,647/Cy5,,https://www.cellsignal.com/products/antibody-conjugates/nup98-c39a3-rabbit-mab-alexa-fluor-647-conjugate/13393
p21-647,p21,***,CST,8587,12D1,Alexa Fluor 647,AB_10892861 ,647/Cy5,,https://www.cellsignal.com/products/antibody-conjugates/p21-waf1-cip1-12d1-rabbit-mab-alexa-fluor-647-conjugate/8587
p27-647,p27,***,Abcam,AB194234,Y236,Alexa Fluor 647,,647/Cy5,,http://www.abcam.com/p27-kip-1-antibody-y236-alexa-fluor-647-ab194234.html
pATM-660,pATM(S1981),***,eBioscience,50-9046-41,10H11.E12,eFluor 660,AB_2574312 ,647/Cy5,,https://www.thermofisher.com/antibody/product/Phospho-ATM-Ser1981-Antibody-clone-10H11-E12-Monoclonal/50-9046-41
PAX8-647,PAX8,***,Abcam,AB215953,EPR18715,Alexa Fluor 647,,647/Cy5,,http://www.abcam.com/pax8-antibody-epr18715-alexa-fluor-647-ab215953.html
PDL1-647,PD-L1/CD274,***,CST,15005,E1L3N,Alexa Fluor 647,,647/Cy5,,https://www.cellsignal.com/products/antibody-conjugates/pd-l1-e1l3n-xp-rabbit-mab-alexa-fluor-647-conjugate/15005
pMK2-647,pMK2(T334),***,CST,4320,27B7,Alexa Fluor 647,AB_10695401 ,647/Cy5,Discontinued,https://www.cellsignal.com/product/productDetail.jsp?productId=4320
pmTOR-660,pmTOR(S2448),***,eBioscience,50-9718-41,MRRBY,eFluor 660,AB_2574351,647/Cy5,,https://www.thermofisher.com/antibody/product/Phospho-mTOR-Ser2448-Antibody-clone-MRRBY-Monoclonal/50-9718-41
pS6_235-647,pS6(S235/S236),***,CST,4851,D57.2.2E,Alexa Fluor 647,AB_10695457 ,647/Cy5,,https://www.cellsignal.com/products/antibody-conjugates/phospho-s6-ribosomal-protein-ser235-236-d57-2-2e-xp-rabbit-mab-alexa-fluor-647-conjugate/4851
pSTAT3-647,pSTAT3(Y705),***,CST,4324,D3A7,Alexa Fluor 647,AB_10694637,647/Cy5,,https://www.cellsignal.com/products/antibody-conjugates/phospho-stat3-tyr705-d3a7-xp-rabbit-mab-alexa-fluor-647-conjugate/4324?_=1521141742788&Ntt=4324&tahead=true
pTyr-647,p-Tyrosine,***,CST,9415,p-Tyr-100,Alexa Fluor 647,AB_10693160,647/Cy5,,https://www.cellsignal.com/products/antibody-conjugates/phospho-tyrosine-mouse-mab-p-tyr-100-alexa-fluor-647-conjugate/9415
S100A4-647,S100A4,***,Abcam,AB196168,EPR2761(2),Alexa Fluor 647,,647/Cy5,,http://www.abcam.com/s100a4-antibody-epr27612-alexa-fluor-647-ab196168.html
Survivin-647,Survivin,***,CST,2866,71G4B7,Alexa Fluor 647,AB_10698609,647/Cy5,,https://www.cellsignal.com/products/antibody-conjugates/survivin-71g4b7-rabbit-mab-alexa-fluor-647-conjugate/2866
TUBB3-647,TUBB3,***,BioLegend,657405,AA10,Alexa Fluor 647,AB_2563609,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-tubulin-beta-3-tubb3-antibody-9848
Tubulin-647,beta-Tubulin,***,CST,3624,9F3,Alexa Fluor 647,AB_10694204,647/Cy5,,https://www.cellsignal.com/products/antibody-conjugates/b-tubulin-9f3-rabbit-mab-alexa-fluor-647-conjugate/3624
Vimentin-647,Vimentin,***,BioLegend,677807,O91D3,Alexa Fluor 647,AB_2616801 ,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-vimentin-antibody-13224
anti-14-3-3,14-3-3,***,Santa Cruz,SC-629-G,Polyclonal,N/D,AB_630820,N/D,,https://www.scbt.com/scbt/product/pan-14-3-3-antibody-k-19
anti-53BP1,53BP1,***,Bethyl,A303-906A,Polyclonal,N/D,AB_2620256 ,N/D,,https://www.bethyl.com/product/A303-906A/53BP1+Antibody
anti-5HMC,5HMC,***,Active Motif,39769,Polyclonal,N/D,AB_10013602,N/D,,https://www.activemotif.com/catalog/details/39769.html
anti-CD11b,CD11b,***,Abcam,AB133357,EPR1344,N/D,AB_2650514,N/D,,http://www.abcam.com/cd11b-antibody-epr1344-ab133357.html
anti-CD2,CD2,***,Abcam,AB37212,Polyclonal,N/D,AB_726228,N/D,,http://www.abcam.com/cd2-antibody-ab37212.html
anti-CD20,CD20,***,Dako,M0755,L26,N/D,AB_2282030,N/D,,https://www.agilent.com/en-us/products/immunohistochemistry/antibodies-controls/primary-antibodies/cd20cy
anti-CD3,CD3,***,Dako,A0452,Polyclonal,N/D,AB_2335677,N/D,,https://www.agilent.com/en-us/products/immunohistochemistry/antibodies-controls/primary-antibodies/cd3#relatedproducts
anti-CD4,CD4,***,Dako,M7310,4B12,N/D,,N/D,,https://www.agilent.com/en-us/products/immunohistochemistry/antibodies-controls/primary-antibodies/cd4
anti-CD45RO,CD45RO,***,Dako,M0742,UCHL1,N/D,AB_2237910,N/D,,https://www.agilent.com/en-us/products/immunohistochemistry/antibodies-controls/primary-antibodies/cd45r0
anti-CD8,CD8,***,Dako,M7103,C8/144B,N/D,AB_2075537 ,N/D,,https://www.agilent.com/en-us/products/immunohistochemistry/antibodies-controls/primary-antibodies/cd8
anti-CycA2,CycA2,***,Abcam,AB38,E23.1,N/D,AB_304084,N/D,,http://www.abcam.com/cyclin-a2-antibody-e231-ab38.html
anti-ET1,ET-1,***,Abcam,AB2786,TR.ET.48.5,N/D,AB_303299,N/D,,http://www.abcam.com/endothelin-1-antibody-tret485-ab2786.html
anti-FAP,FAP,***,eBioscience,BMS168,F11-24,N/D,AB_10597443,N/D,,https://www.thermofisher.com/antibody/product/FAP-Antibody-clone-F11-24-Monoclonal/BMS168
anti-FOXP3,FOXP3,***,BioLegend,320102,206D,N/D,AB_430881,N/D,,https://www.biolegend.com/en-us/products/purified-anti-human-foxp3-antibody-2897
anti-LAMP2,LAMP2,***,Abcam,AB25631,H4B4,N/D,AB_470709,N/D,,http://www.abcam.com/lamp2-antibody-h4b4-ab25631.html
anti-MCM6,MCM6,***,Santa Cruz,SC-9843,Polyclonal,N/D,AB_2142543,N/D,,https://www.scbt.com/scbt/product/mcm6-antibody-c-20?requestFrom=search
anti-PAX8,PAX8,***,Abcam,AB191870,EPR18715,N/D,,N/D,,http://www.abcam.com/pax8-antibody-epr18715-ab191870.html
anti-PD1,PD1,***,CST,86163,D4W2J,N/D,,N/D,,https://www.cellsignal.com/products/primary-antibodies/pd-1-d4w2j-xp-rabbit-mab/86163
anti-pEGFR,pEGFR(Y1068),***,CST,3777,D7A5,N/D,AB_2096270,N/D,,https://www.cellsignal.com/products/primary-antibodies/phospho-egf-receptor-tyr1068-d7a5-xp-rabbit-mab/3777
anti-pERK,pERK(T202/Y204),***,CST,4370,D13.14.4E,N/D,AB_2315112,N/D,,https://www.cellsignal.com/products/primary-antibodies/phospho-p44-42-mapk-erk1-2-thr202-tyr204-d13-14-4e-xp-rabbit-mab/4370
anti-pRB,pRB(S807/811),***,Santa Cruz,SC-16670,Polyclonal,N/D,AB_655250 ,N/D,Discontinued,https://datasheets.scbt.com/sc-16670.pdf
anti-pRPA32,pRPA32 (S4/S8),***,Bethyl,IHC-00422,Polyclonal,N/D,AB_1659840,N/D,,https://www.bethyl.com/product/IHC-00422/Phospho+RPA32+(S4+S8)+IHC+Antibody
anti-pSTAT3,pSTAT3,***,CST,9145,D3A7,N/D,AB_2491009,N/D,,https://www.cellsignal.com/products/primary-antibodies/phospho-stat3-tyr705-d3a7-xp-rabbit-mab/9145
