"","Cell_ID","clust_ID","X_position","Y_position","UMAP_D1","UMAP_D2","KERATIN","ASMA","CD45"
"94",96309,3,11116.0079681275,8094.41035856574,4.29201427992871,2.78953554877084,7.59873078044395,7.71069616197873,7.25159077837195
"95",84787,3,8488.34453781513,7360.79831932773,3.14374522286072,1.8919651153384,6.47958046497363,7.37910778799634,7.77064877984498
"96",49388,3,12922.7445652174,769.092391304348,0.55544186826725,1.6750835749636,6.39381793477391,7.684251567953,7.58849152235688
"97",103521,4,12809.2977099237,8784.02290076336,-3.06047126259464,-1.45772108265598,7.41332589799107,9.84806481160697,5.39439061392086
"98",61523,1,1089.80615384615,10889.1923076923,-5.53668689224344,-1.54422230735013,9.88904163396204,7.04457778839718,5.42077322821142
"99",62894,2,1625.62603305785,10346.9958677686,-2.09942721947335,-1.92536429850878,6.84089339978023,8.44164152028782,6.05438114413334
"100",11752,4,5775.97777777778,2072.73333333333,0.205813454556388,-4.43554787890057,5.80715768757071,10.3907142321051,5.47329722408592
"101",42587,1,11907.3011363636,4704.60795454545,-2.44855750966705,3.71255222564666,8.74924152268527,6.4982650354198,6.13465440193856
"102",107759,2,13784.6487804878,6550.01463414634,1.02661703998557,-2.3823751671822,7.99675074215359,6.75034808294492,5.64971254335515
"103",24237,4,8770.16037735849,235.77358490566,0.428522834255752,-4.22828714746309,6.49600631781595,10.1961768790616,6.06448702466518
"104",24085,4,8743.25910931174,3909.18623481781,-0.941926786727118,-2.64566414644042,7.01204599183572,9.59637060702064,6.47640540057749
"105",30879,1,9906.04027777778,5339.9375,-3.32782628847362,3.1161313804358,10.9329791837752,7.43277880056293,5.87479807536204
"106",13054,3,6191.42603550296,5357.46153846154,1.11653994910522,1.66573438027771,6.17050162319355,7.76466528963085,7.33783025223449
"107",19717,3,7855.84905660377,3733.38679245283,0.715306420160772,1.13309360690997,5.83992837101356,7.46141264994676,7.54749670708409
"108",31127,4,9944.94575045208,2599.64376130199,-1.09964004059651,-3.03981566254455,6.26264365089655,8.92182757482133,5.78915246109776
"109",70961,3,4552.18571428571,8032.81904761905,2.46859302418594,-1.71653808341825,7.23031830429203,8.49980479038634,7.42176155339744
"110",105860,1,13324.4401913876,8125.61722488038,-5.40040412491471,-1.67084599723121,9.9317120232288,6.20220615237467,7.53049539648636
"111",7788,4,4615.65261382799,954.161888701518,0.0326185075800334,-4.29895229027973,5.20932026951231,10.2161594623534,5.44577016568877
"112",4155,2,2580.15294117647,426.594117647059,4.29987125276356,-1.4475672281441,5.82751726235622,6.17026274730176,6.41523173395351
"113",4434,3,2793.36734693878,4064.69387755102,1.466896447753,-0.310134326843516,5.88989502249559,5.93240757343987,7.35380071975962
"114",45664,3,12340.3703703704,1269.44444444444,3.90976782209769,3.82913100349762,6.42954025050931,7.64814822186014,8.77993060562792
"115",27605,1,9376.23448275862,5869.33563218391,-3.69229246515,2.37671458895818,9.55030576151231,6.35450996104304,6.92774157207919
"116",11890,3,5819.01986754967,4003.81125827815,2.40853625134985,2.66851581401436,5.6557139043799,7.48407095778866,7.94449803494024
"117",94856,1,10708.1677018633,8009.07453416149,-2.86862663545879,4.62947758590886,9.23842328211095,6.06543053935162,5.43527585099362
"118",16571,4,7221.48946515397,5378.22204213938,-0.976998370523734,-2.6186783190706,7.23488089227142,9.76395439274027,6.02217137385147
"119",60428,3,585.610091743119,8600.41743119266,1.58260875145632,1.62670739526608,5.86458854661339,6.45429298349972,7.24155192104181
