Cell_ID,clust_ID,X_position,Y_position,KERATIN,ASMA,CD45
47,4,23.1523178807947,1871.60264900662,5.30228300294138,9.75596993925684,5.01719211751662
48,4,13.4971751412429,262.762711864407,5.45676871259949,10.1100765247435,5.55267486870511
49,2,18.0081300813008,1574.66666666667,6.37026287301243,6.57585226235463,5.06616486025301
50,4,18.6360078277886,2097.88845401174,5.60338894640316,10.529029492198,5.30701718224903
51,4,20.8898305084746,520.299435028249,5.82371427768883,8.63437491637807,5.51176434012177
52,4,21.1367924528302,3103.1179245283,5.61030081077648,10.1315262727482,5.01079251444089
53,2,18.0452674897119,3829.80658436214,5.71255050722867,6.88471407983544,5.3424917601851
54,2,22.1172839506173,4632.92592592593,5.6922449795742,5.69713491410033,6.39282143377999
55,4,15.2525773195876,5990.20103092783,5.77980442155127,10.0693306544538,5.40007345591478
56,4,15.9241379310345,3123.08965517241,5.7121610691008,10.3482529462284,5.01755383444199
57,1,18.6749379652605,4901.20843672457,8.71827724605361,6.78499586180207,5.5512943216322
58,2,19.7871485943775,1500.97590361446,6.95549689208406,6.8494622741823,5.47975164897372
59,2,18.1583333333333,1753.13333333333,5.76563510033709,7.06066232867906,5.35138408748473
60,2,23.1581920903955,4012.06779661017,6.72977681964486,6.54115635573972,5.27991460643805
61,2,22.0739299610895,4469.66536964981,6.27763039284776,6.57988870872265,5.07129958858265
62,2,25.695652173913,4572.05351170569,5.93868273123416,5.89473446339598,6.65553504163116
63,4,19.072,967.88,5.67488905100122,10.013529413578,5.4455642700585
64,2,20.8266666666667,5334.98666666667,5.68264962967932,7.08252058127822,5.5484792790859
65,4,25.0863787375415,730.481727574751,5.91877774707928,9.99046577559854,5.8531566965304
66,4,28.8919860627178,1792.0243902439,5.76628277019673,8.39510980751993,5.20586199292147
67,3,20.5333333333333,5388.95,5.54361372250338,6.54454713533222,7.48648718410979
68,4,28.1597444089457,5692.94568690096,5.69094213575409,10.4309519050424,5.45044866511806
69,4,23.4776119402985,5934.10945273632,5.49008833240649,10.0576392984609,5.55659752743536
70,4,23.2201257861635,860.842767295597,5.3546858108621,10.2216935685847,5.32662362917847
71,2,25.5287356321839,5242.56896551724,5.36841690514647,5.43161166210175,5.18574701432346
72,4,24.9241379310345,500.489655172414,5.75855362234081,7.8079334496428,5.50631227156264
73,2,26.4829931972789,5305.40136054422,6.04145256822819,5.78871118553536,5.46302437664101
74,4,33.1424731182796,5890.94623655914,5.45073844087061,9.82058867535694,5.60700706421947
75,3,26.5958549222798,234.823834196891,5.3251308171591,8.80811586237451,6.92966378448435
76,4,29.8391959798995,656.306532663317,5.29942228354056,10.3672060824121,6.0102567123399
77,4,29.2378048780488,1254.46951219512,5.20945283228097,8.60856547265488,5.28156192114214
78,3,24.3823529411765,711.352941176471,5.62688025531945,9.80486653028963,7.73588316904638
79,4,27.3623188405797,956.63768115942,5.54095090748873,9.69128035748686,5.3386870848938
80,4,36.0367647058824,2850.97794117647,5.89162389962728,10.7129553164479,4.86864620025682
81,3,28.3305084745763,3187.77966101695,5.10296208605944,8.25514582588352,7.70820896189494
82,3,29.6428571428571,76.781954887218,5.77518180502208,8.82878322980768,8.34041832849806
83,4,29.496,287.192,5.77628916544295,10.0078158556458,5.45692666338224
