Cell_ID,clust_ID,X_position,Y_position,CMD_X,CMD_Y
2358,8,29765,25518,-0.233815389875649,0.0461723792044943
2359,4,29768,25132,0.113505294267429,-0.0874591183938683
2360,4,29760,24062,0.219384946195397,0.00791197869398528
2361,2,29761,24369,0.0177117930195047,0.217304806232506
2362,3,29764,24090,0.205429603875215,0.0999535698371167
2363,2,29766,25957,0.0180297415355715,0.187647630567876
2364,1,29767,24413,-0.164018810031663,0.195132582077415
2365,1,29766,24853,-0.143704457147638,0.180921267960719
2366,1,29768,24441,-0.121564511936283,0.218766203926917
2367,3,29767,24911,0.177916296263484,0.111493210630682
2368,7,29774,25549,-0.213508619935613,-0.0093227637115736
2369,5,29774,24880,0.0931802381499015,-0.174218976502125
2370,7,29775,24027,-0.209488814915224,-0.0905443217829124
2371,2,29775,24751,0.072911648478414,0.1636450607967
2372,6,29777,24686,-0.105732425109454,-0.178274759943645
2373,7,29787,24303,-0.185631603077364,-0.095435214114608
2374,4,29785,24921,0.222781890686398,-0.00398069106020111
2375,4,29789,24250,0.19231475456308,-0.0550567970633984
2376,4,29791,24907,0.210106521180248,-0.00335154515041908
2377,5,29793,25823,-0.000497176009804226,-0.0933206541632078
2378,2,29791,25776,0.119917651200909,0.194010453127952
2379,3,29792,25966,0.105145000381043,0.113163340367028
2380,6,29792,24843,-0.0534677883618341,-0.17172372675642
2381,6,29791,24993,-0.136093887988079,-0.201377836113563
2382,1,29795,25805,-0.0297528287169736,0.109445208269251
2383,5,29795,24409,0.109101291532448,-0.156833698090239
2384,7,29793,24670,-0.156496680503574,-0.0831629553419587
2385,8,29795,25629,-0.215065570563241,0.128697709874419
2386,1,29803,24562,-0.023896918571178,0.0743955270865971
2387,8,29798,25848,-0.0641018440439872,0.029659527865945
2388,3,29800,24479,0.142645775483553,0.0940353569309313
2389,8,29797,25654,-0.0968661678587451,0.101762185810748
2390,7,29806,24878,-0.153374891197439,-0.104512868600932
2391,1,29800,25387,-0.0198575198066875,0.118979364395263
2392,1,29804,25757,-0.128364689865896,0.184879815007579
2393,5,29803,25539,0.109797937197627,-0.134620026681449
2394,4,29806,25990,0.209530830177088,0.00812631708111132
2395,6,29810,25455,-0.0563162811480599,-0.0799450977601037
2396,5,29810,25524,0.118917662664503,-0.160182718463054
2397,3,29808,24819,0.187405893918671,0.0202597868903291
2398,1,29818,25379,-0.110545625837444,0.210869545728567
2399,6,29816,24990,-0.0645851724242429,-0.1875709442889
2400,6,29817,24671,-0.027594212622874,-0.101148756482249
2401,3,29814,24304,0.216170640534008,0.0530560429498286
2402,8,29817,24532,-0.220121824928156,0.033132793438014
2403,7,29820,24515,-0.218542332748719,-0.000983755052157955
2404,4,29819,24186,0.152090299390035,-0.0423181990964667
2405,2,29817,24704,0.13794544783078,0.172808979507916
2406,6,29823,24913,-0.0962261570946304,-0.16471648192507
2407,6,29818,25084,-0.119040051488711,-0.179118058455049
2408,3,29822,25864,0.139617186339069,0.0972437529023921
2409,6,29824,25800,-0.0992995758330494,-0.0887201777565607
2410,2,29822,25888,-0.00477868333752801,0.117239633667506
2411,5,29819,24201,0.108719362162534,-0.130772042017786
2412,1,29828,25413,-0.154403119919579,0.216261206509872
2413,1,29837,24836,-0.148667733968729,0.181851537297252
2414,7,29836,25762,-0.200925421452821,-0.00563626003555114
2415,3,29833,24143,0.2261513743175,0.0455955703902021
2416,4,29832,24684,0.181305630033374,-0.0671654695979934
2417,5,29834,24859,0.0725581879283247,-0.196553201078756
2418,1,29834,25545,-0.00892772287321006,0.232686488507424
