Cell_ID,clust_ID,X_position,Y_position,CD45,e-Cadherin
816498,2,10763,20976,-250,717
713007,3,12288,18239,-1420,-990
820659,2,12383,21170,-180,774
713120,2,12317,18793,-1527,344
712590,2,12185,17564,-911,531
815055,2,10347,20224,-1922,216
707865,3,10940,16071,-300,-705
819822,2,12001,23573,-453,563
813173,3,9813,21702,-745,-91
819827,2,12006,20350,-779,579
704256,3,10166,18058,-815,-1905
708224,2,11015,17911,-1814,517
702420,2,9477,19090,-827,411
707091,3,10779,16654,-651,-503
706318,1,10629,18987,658,-871
814980,2,10322,23226,-1118,476
811583,2,9295,22993,-1172,555
707480,1,10856,19199,414,-829
703977,1,10100,19656,21,-952
820522,2,12328,22402,-953,633
710000,3,11476,18143,-527,-240
819301,2,11793,22406,-340,91
700582,2,8414,19397,-646,574
701091,2,8721,18889,-982,510
814103,2,10080,20149,-884,516
820194,2,12145,22395,-330,710
705096,2,10364,18068,-535,207
708850,2,11172,17685,-911,344
813714,2,9971,20764,-656,184
817702,2,11174,20821,-1201,582
815138,2,10369,23498,-268,502
706968,1,10752,19216,83,-971
809223,1,7172,23092,389,-464
814071,3,10069,20999,-1261,-200
710734,2,11682,18254,-272,112
708251,2,11023,17503,-1945,566
702488,3,9529,19620,-651,-934
818602,2,11487,20753,-1794,522
711595,2,11926,17830,-566,405
709340,2,11303,18018,-1118,580
701027,2,8675,17695,-250,246
698008,3,3411,19525,-226,-705
819043,2,11666,21888,129,755
712108,2,12068,16122,-852,594
707259,1,10808,19447,794,-934
698271,3,3619,18960,-211,-567
708246,2,11022,17467,-1314,310
812522,3,9613,22381,-1633,-856
809666,2,8389,20512,-281,350
701648,3,9061,19597,-540,-659
706224,1,10608,19377,855,-934
810864,2,9045,22938,-686,454
702796,2,9708,18480,-617,826
814747,2,10256,22764,-852,398
820634,2,12366,22291,-535,546
705506,4,10458,17814,-1240,-202
818593,3,11487,21090,-1240,128
810170,2,8757,21645,-768,122
708879,2,11178,17161,-1513,419
